dataset,class,filename,path,width,height,brightness,contrast,blur_score,overexposed_percent,dark_percent,hash,flags
train,healthy_nails,000002.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\000002.jpg,224,224,135.68,65.82,594.76,3.27,0.0,788653f1681a9bd75ea47e395cae566f,OK
train,healthy_nails,000004.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\000004.jpg,224,224,233.53,40.44,129.3,72.6,0.0,e67c9eee8ea94c8b1e3f3c18bdce1784,VERY_BRIGHT|OVEREXPOSED
train,healthy_nails,000006.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\000006.jpg,224,224,228.36,37.49,57.07,54.1,0.0,4b44a08ba96ba3c30f99facdaffdfb35,VERY_BRIGHT
train,healthy_nails,000007.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\000007.jpg,224,224,178.19,50.86,49.69,7.12,0.0,f577e1e484526e153e58ea827cba41a5,BLURRY
train,healthy_nails,000016.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\000016.jpg,224,224,211.65,59.78,85.17,47.81,0.0,74b56a19af0b2ac66452579574d2c7ed,OK
train,healthy_nails,000021.png,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\000021.png,224,224,161.64,69.77,142.87,15.94,0.0,be58fbaf70baeb2e450e6fec00dcfc74,OK
train,healthy_nails,000022.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\000022.jpg,224,224,194.02,63.75,314.37,36.88,0.0,0c4366c3886b2e7f5ad6335a61a46727,OK
train,healthy_nails,000024.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\000024.jpg,224,224,144.19,70.64,88.38,8.42,0.0,7782a4b67040c7146df8fdfaccfb3311,OK
train,healthy_nails,000025.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\000025.jpg,224,224,154.58,47.62,459.55,4.0,0.0,e3feabe8a6b9310785718695c4f9e6f8,OK
train,healthy_nails,000034.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\000034.jpg,224,224,229.64,37.78,63.72,60.68,0.0,292268d95c52c81de0d1a31a46ab4f5a,VERY_BRIGHT|OVEREXPOSED
train,healthy_nails,000036.jpg,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\000036.jpg,224,224,206.04,48.9,194.95,30.8,0.0,a392ed183217a63419f7eb30e9dad732,OK
train,healthy_nails,000038.png,D:\NUTRITION_DEFICIENCY_DETECTOR\Model_Training\dataset\train\healthy_nails\000038.png,224,224,212.38,38.45,72.96,24.15,0.0,c7259ff9decf88a1a6d028af3bcb0dd1,OK
